MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No),Enrichment_Status,AI_Enriched_Attributes,Provenance_Source_URL
,,,,,,DCB518ASTS06G,Tools & Hardware,Abrasives,Sanding Belts & Sheets,DCB518ASTS06G,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo,,DCB518ASTS06G,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Freud Inc Diablo, Sanding Belt, DCB518ASTS06G",SANDING BELT DCB518ASTS06G SANDING BELT 1/2 IN X 1,"Diablo DCB518ASTS06G DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc","Diablo Sanding Belt (MPN: DCB518ASTS06G). Features: Product Type: Sanding Belt, Brand: Diablo, Model: DCB518ASTS06G, Size: 1/2 in x 18 in in","Diablo Sanding Belt, Model DCB518ASTS06G.",High-quality Diablo Sanding Belt designed for professional performance.,Product Type: Sanding Belt,Brand: Diablo,Model: DCB518ASTS06G,Size: 1/2 in x 18 in in,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Product Type,Sanding Belt,,Brand,Diablo,,Model,DCB518ASTS06G,,Size,1/2 in x 18 in,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AI-Enriched (Offline Batch: Gemini 3.6 Flash),Product Type: Sanding Belts None; Material: Aluminum Oxide None; Coating: Stearate None,https://diablotools.com/products/DCB518ASTS06G
,,,,,,3MABR-7100075678,Tools & Hardware,Abrasives,Sanding Belts & Sheets,3MABR-7100075678,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100075678,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Jam Industrial Supply LLC Jam Industrial Supply LLC, Sanding Belts & Sheets, 3MABR-7100075678",SANDING BELTS & SHEETS 3MABR-7100075678 SANDING BE,Jam Industrial Supply LLC 3MABR-7100075678 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,"Jam Industrial Supply LLC Sanding Belts & Sheets (MPN: 3MABR-7100075678). Features: Product Type: Sanding Belts & Sheets, Brand: Jam Industrial Supply LLC, Model: 3MABR-7100075678, Grit: P150","Jam Industrial Supply LLC Sanding Belts & Sheets, Model 3MABR-7100075678.",High-quality Jam Industrial Supply LLC Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Jam Industrial Supply LLC,Model: 3MABR-7100075678,Grit: P150,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Jam Industrial Supply LLC,,Model,3MABR-7100075678,,Grit,P150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,3MABR-7100045865,Tools & Hardware,Abrasives,Sanding Belts & Sheets,3MABR-7100045865,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100045865,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Jam Industrial Supply LLC Jam Industrial Supply LLC, Sanding Belts & Sheets, 3MABR-7100045865",SANDING BELTS & SHEETS 3MABR-7100045865 SANDING BE,Jam Industrial Supply LLC 3MABR-7100045865 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,"Jam Industrial Supply LLC Sanding Belts & Sheets (MPN: 3MABR-7100045865). Features: Product Type: Sanding Belts & Sheets, Brand: Jam Industrial Supply LLC, Model: 3MABR-7100045865, Grit: P120","Jam Industrial Supply LLC Sanding Belts & Sheets, Model 3MABR-7100045865.",High-quality Jam Industrial Supply LLC Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Jam Industrial Supply LLC,Model: 3MABR-7100045865,Grit: P120,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Jam Industrial Supply LLC,,Model,3MABR-7100045865,,Grit,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,3MABR-7100048736,Tools & Hardware,Abrasives,Sanding Belts & Sheets,3MABR-7100048736,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100048736,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Jam Industrial Supply LLC Jam Industrial Supply LLC, Sanding Belts & Sheets, 3MABR-7100048736",SANDING BELTS & SHEETS 3MABR-7100048736 SANDING BE,Jam Industrial Supply LLC 3MABR-7100048736 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,"Jam Industrial Supply LLC Sanding Belts & Sheets (MPN: 3MABR-7100048736). Features: Product Type: Sanding Belts & Sheets, Brand: Jam Industrial Supply LLC, Model: 3MABR-7100048736, Grit: P80","Jam Industrial Supply LLC Sanding Belts & Sheets, Model 3MABR-7100048736.",High-quality Jam Industrial Supply LLC Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Jam Industrial Supply LLC,Model: 3MABR-7100048736,Grit: P80,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Jam Industrial Supply LLC,,Model,3MABR-7100048736,,Grit,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,3MABR-7100075690,Tools & Hardware,Abrasives,Sanding Belts & Sheets,3MABR-7100075690,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100075690,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Jam Industrial Supply LLC Jam Industrial Supply LLC, Sanding Belts & Sheets, 3MABR-7100075690",SANDING BELTS & SHEETS 3MABR-7100075690 SANDING BE,Jam Industrial Supply LLC 3MABR-7100075690 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,"Jam Industrial Supply LLC Sanding Belts & Sheets (MPN: 3MABR-7100075690). Features: Product Type: Sanding Belts & Sheets, Brand: Jam Industrial Supply LLC, Model: 3MABR-7100075690, Grit: P180","Jam Industrial Supply LLC Sanding Belts & Sheets, Model 3MABR-7100075690.",High-quality Jam Industrial Supply LLC Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Jam Industrial Supply LLC,Model: 3MABR-7100075690,Grit: P180,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Jam Industrial Supply LLC,,Model,3MABR-7100075690,,Grit,P180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,3MABR-7100075692,Tools & Hardware,Abrasives,Sanding Belts & Sheets,3MABR-7100075692,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100075692,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Jam Industrial Supply LLC Jam Industrial Supply LLC, Sanding Belts & Sheets, 3MABR-7100075692",SANDING BELTS & SHEETS 3MABR-7100075692 SANDING BE,Jam Industrial Supply LLC 3MABR-7100075692 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,"Jam Industrial Supply LLC Sanding Belts & Sheets (MPN: 3MABR-7100075692). Features: Product Type: Sanding Belts & Sheets, Brand: Jam Industrial Supply LLC, Model: 3MABR-7100075692, Grit: P220","Jam Industrial Supply LLC Sanding Belts & Sheets, Model 3MABR-7100075692.",High-quality Jam Industrial Supply LLC Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Jam Industrial Supply LLC,Model: 3MABR-7100075692,Grit: P220,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Jam Industrial Supply LLC,,Model,3MABR-7100075692,,Grit,P220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,3MABR-7100145365,Tools & Hardware,Abrasives,Sanding Belts & Sheets,3MABR-7100145365,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100145365,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Jam Industrial Supply LLC Jam Industrial Supply LLC, Sanding Belts & Sheets, 3MABR-7100145365",SANDING BELTS & SHEETS 3MABR-7100145365 SANDING BE,Jam Industrial Supply LLC 3MABR-7100145365 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,"Jam Industrial Supply LLC Sanding Belts & Sheets (MPN: 3MABR-7100145365). Features: Product Type: Sanding Belts & Sheets, Brand: Jam Industrial Supply LLC, Model: 3MABR-7100145365, Grit: P320","Jam Industrial Supply LLC Sanding Belts & Sheets, Model 3MABR-7100145365.",High-quality Jam Industrial Supply LLC Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Jam Industrial Supply LLC,Model: 3MABR-7100145365,Grit: P320,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Jam Industrial Supply LLC,,Model,3MABR-7100145365,,Grit,P320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,5B-332-080,Tools & Hardware,Abrasives,Sanding Belts & Sheets,5B-332-080,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka Abrasives Inc,,5B-332-080,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Mirka Abrasives Inc Mirka Abrasives Inc, Sanding Belts & Sheets, 5B-332-080",SANDING BELTS & SHEETS 5B-332-080 SANDING BELTS & ,"Mirka Abrasives Inc 5B-332-080 5B-332-080 HIOLIT 5"" P80","Mirka Abrasives Inc Sanding Belts & Sheets (MPN: 5B-332-080). Features: Product Type: Sanding Belts & Sheets, Brand: Mirka Abrasives Inc, Model: 5B-332-080, Grit: P80","Mirka Abrasives Inc Sanding Belts & Sheets, Model 5B-332-080.",High-quality Mirka Abrasives Inc Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Mirka Abrasives Inc,Model: 5B-332-080,Grit: P80,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Mirka Abrasives Inc,,Model,5B-332-080,,Grit,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,5B-332-120,Tools & Hardware,Abrasives,Sanding Belts & Sheets,5B-332-120,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka Abrasives Inc,,5B-332-120,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Mirka Abrasives Inc Mirka Abrasives Inc, Sanding Belts & Sheets, 5B-332-120",SANDING BELTS & SHEETS 5B-332-120 SANDING BELTS & ,"Mirka Abrasives Inc 5B-332-120 5B-332-120 HIOLIT 5"" P120","Mirka Abrasives Inc Sanding Belts & Sheets (MPN: 5B-332-120). Features: Product Type: Sanding Belts & Sheets, Brand: Mirka Abrasives Inc, Model: 5B-332-120, Grit: P120","Mirka Abrasives Inc Sanding Belts & Sheets, Model 5B-332-120.",High-quality Mirka Abrasives Inc Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Mirka Abrasives Inc,Model: 5B-332-120,Grit: P120,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Mirka Abrasives Inc,,Model,5B-332-120,,Grit,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
,,,,,,9A-570-240,Tools & Hardware,Abrasives,Sanding Belts & Sheets,9A-570-240,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka Abrasives Inc,,9A-570-240,,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Belts & Sheets,"Mirka Abrasives Inc Mirka Abrasives Inc, Sanding Belts & Sheets, 9A-570-240",SANDING BELTS & SHEETS 9A-570-240 SANDING BELTS & ,Mirka Abrasives Inc 9A-570-240 9A-570-240 Abranet 2.75x30,"Mirka Abrasives Inc Sanding Belts & Sheets (MPN: 9A-570-240). Features: Product Type: Sanding Belts & Sheets, Brand: Mirka Abrasives Inc, Model: 9A-570-240, Size: 2.75 in x 30 in in","Mirka Abrasives Inc Sanding Belts & Sheets, Model 9A-570-240.",High-quality Mirka Abrasives Inc Sanding Belts & Sheets designed for professional performance.,Product Type: Sanding Belts & Sheets,Brand: Mirka Abrasives Inc,Model: 9A-570-240,Size: 2.75 in x 30 in in,,,,,,,,,,,,,,,,,,,,,,Sanding Belts & Sheets,Product Type,Sanding Belts & Sheets,,Brand,Mirka Abrasives Inc,,Model,9A-570-240,,Size,2.75 in x 30 in,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Deterministic Match,,
